iter	Passed	Remaining
0	9	9831
1	19	10314
2	29	10234
3	38	9943
4	45	9464
5	51	9019
6	58	8748
7	65	8500
8	70	8159
9	77	8094
10	84	7995
11	91	7883
12	97	7786
13	104	7715
14	110	7632
15	116	7542
16	121	7386
17	128	7355
18	134	7320
19	141	7289
20	148	7273
21	154	7225
22	160	7185
23	167	7155
24	173	7116
25	180	7090
26	187	7095
27	194	7086
28	201	7094
29	208	7088
30	215	7081
31	222	7067
32	230	7097
33	236	7070
34	243	7064
35	250	7045
36	256	7023
37	262	6999
38	269	6976
39	275	6951
40	281	6936
41	288	6927
42	294	6907
43	301	6892
44	308	6885
45	314	6864
46	320	6846
47	327	6829
48	333	6817
49	340	6814
50	345	6777
51	352	6767
52	359	6753
53	365	6738
54	372	6741
55	380	6747
56	387	6743
57	393	6736
58	400	6727
59	406	6713
60	411	6668
61	417	6655
62	424	6646
63	430	6638
64	437	6629
65	444	6626
66	451	6619
67	457	6603
68	463	6592
69	470	6586
70	477	6581
71	484	6575
72	490	6565
73	497	6556
74	503	6545
75	507	6509
76	514	6499
77	520	6488
78	527	6486
79	539	6541
80	549	6576
81	560	6621
82	571	6662
83	579	6659
84	586	6654
85	593	6650
86	600	6645
87	606	6633
88	613	6624
89	621	6633
90	629	6629
91	637	6642
92	644	6634
93	651	6622
94	657	6612
95	665	6616
96	672	6606
97	678	6595
98	686	6593
99	693	6585
100	702	6596
101	709	6592
102	717	6594
103	724	6590
104	731	6585
105	739	6582
106	746	6579
107	755	6589
108	762	6584
109	770	6588
110	777	6579
111	785	6578
112	792	6569
113	800	6569
114	806	6560
115	813	6552
116	819	6531
117	826	6526
118	833	6520
119	840	6512
120	847	6508
121	854	6502
122	863	6509
123	871	6506
124	877	6496
125	885	6494
126	892	6487
127	902	6497
128	908	6485
129	916	6486
130	923	6477
131	931	6475
132	938	6467
133	945	6462
134	952	6455
135	959	6447
136	966	6438
137	974	6440
138	981	6433
139	989	6430
140	996	6422
141	1003	6414
142	1010	6411
143	1017	6404
144	1024	6395
145	1031	6387
146	1038	6378
147	1042	6355
148	1049	6348
149	1056	6338
150	1062	6328
151	1069	6319
152	1076	6309
153	1082	6298
154	1089	6288
155	1096	6282
156	1105	6289
157	1112	6279
158	1118	6269
159	1125	6260
160	1132	6251
161	1139	6243
162	1146	6237
163	1153	6229
164	1159	6221
165	1166	6214
166	1173	6205
167	1179	6194
168	1186	6184
169	1193	6175
170	1199	6167
171	1206	6157
172	1212	6149
173	1219	6140
174	1226	6133
175	1233	6125
176	1239	6115
177	1246	6105
178	1252	6096
179	1259	6088
180	1266	6080
181	1272	6070
182	1279	6061
183	1286	6053
184	1292	6043
185	1299	6035
186	1334	6159
187	1339	6143
188	1344	6125
189	1350	6111
190	1355	6097
191	1361	6085
192	1368	6074
193	1374	6064
194	1381	6055
195	1387	6047
196	1394	6036
197	1400	6027
198	1407	6017
199	1413	6007
200	1419	5997
201	1426	5989
202	1433	5981
203	1439	5971
204	1446	5962
205	1452	5952
206	1459	5944
207	1466	5935
208	1472	5927
209	1479	5918
210	1486	5910
211	1492	5901
212	1499	5892
213	1507	5887
214	1514	5880
215	1520	5871
216	1527	5863
217	1534	5855
218	1541	5847
219	1547	5839
220	1554	5832
221	1561	5825
222	1568	5815
223	1574	5807
224	1581	5797
225	1587	5788
226	1594	5780
227	1600	5771
228	1607	5762
229	1614	5754
230	1620	5744
231	1626	5736
232	1633	5727
233	1639	5717
234	1646	5709
235	1652	5698
236	1658	5690
237	1665	5682
238	1672	5674
239	1678	5665
240	1685	5657
241	1692	5649
242	1698	5641
243	1705	5633
244	1712	5626
245	1719	5619
246	1725	5610
247	1732	5602
248	1739	5594
249	1745	5586
250	1752	5579
251	1759	5571
252	1766	5564
253	1773	5556
254	1780	5550
255	1786	5541
256	1793	5533
257	1799	5524
258	1806	5515
259	1812	5507
260	1819	5500
261	1826	5492
262	1833	5485
263	1839	5477
264	1845	5468
265	1852	5460
266	1859	5451
267	1865	5443
268	1871	5434
269	1878	5425
270	1884	5417
271	1891	5408
272	1897	5400
273	1904	5392
274	1910	5384
275	1917	5376
276	1924	5370
277	1932	5366
278	1939	5358
279	1945	5350
280	1952	5342
281	1959	5335
282	1965	5326
283	1972	5320
284	1979	5313
285	1986	5306
286	1992	5298
287	1999	5289
288	2005	5282
289	2012	5275
290	2019	5266
291	2025	5258
292	2032	5250
293	2039	5243
294	2046	5237
295	2053	5230
296	2059	5221
297	2066	5213
298	2072	5205
299	2078	5196
300	2085	5189
301	2092	5181
302	2098	5174
303	2105	5166
304	2113	5162
305	2120	5155
306	2127	5148
307	2133	5140
308	2140	5133
309	2147	5125
310	2153	5117
311	2160	5109
312	2166	5101
313	2173	5095
314	2180	5088
315	2187	5080
316	2193	5072
317	2200	5065
318	2207	5057
319	2213	5049
320	2219	5041
321	2228	5038
322	2236	5033
323	2243	5026
324	2250	5020
325	2256	5012
326	2268	5014
327	2276	5011
328	2282	5002
329	2289	4994
330	2296	4987
331	2303	4980
332	2310	4974
333	2317	4967
334	2324	4960
335	2331	4953
336	2338	4946
337	2345	4939
338	2352	4932
339	2358	4925
340	2365	4918
341	2372	4911
342	2380	4905
343	2392	4910
344	2405	4916
345	2419	4922
346	2435	4934
347	2449	4940
348	2459	4940
349	2469	4938
350	2478	4936
351	2488	4934
352	2497	4931
353	2509	4934
354	2522	4939
355	2531	4934
356	2541	4932
357	2554	4937
358	2564	4935
359	2573	4931
360	2582	4928
361	2592	4928
362	2603	4927
363	2629	4956
364	2644	4962
365	2657	4966
366	2667	4963
367	2677	4962
368	2691	4967
369	2703	4969
370	2714	4968
371	2726	4969
372	2739	4971
373	2750	4971
374	2759	4967
375	2771	4968
376	2781	4965
377	2793	4965
378	2804	4965
379	2817	4967
380	2830	4970
381	2840	4967
382	2852	4966
383	2861	4963
384	2870	4958
385	2879	4952
386	2888	4947
387	2900	4947
388	2909	4944
389	2919	4940
390	2930	4938
391	2940	4935
392	2957	4944
393	2969	4943
394	2984	4949
395	2998	4952
396	3012	4954
397	3024	4954
398	3031	4945
399	3040	4940
400	3046	4931
401	3053	4922
402	3060	4913
403	3067	4904
404	3073	4895
405	3080	4886
406	3087	4878
407	3094	4868
408	3100	4859
